起始节点,目标节点,关系,一级节点,二级节点,三级节点,四级节点,五级节点
回归分析与回归函数,总体回归函数,包含,,,假设检验的基本思想, 正态性假定," 随机扰动项的逐次值互不相关 $\text{Cov}(u_i,u_j|X) = 0 \quad \forall i \neq j$"
总体回归函数,总体回归函数（PRF）：E(Y|X)=f(X),包含,,,原假设与备择假设,用使估计的剩余平方和最小的原则确定样本回归函数，在古典假定下的最小二乘法，也称为普通最小二乘估计，OLS, 随机扰动项与解释变量不相关 \mathbb{E} \left[ (u_i - \mathbb{E}(u_i))(X_i - \mathbb{E}(X_i)) \right] = 0
总体回归函数,线性的解释,包含,,,显著性水平与临界值,1：\sum Y_i = n \hat{\beta}_1 + \hat{\beta}_2 \sum X_i," 随机扰动项服从期望为零，方差为 $\sigma^2$ 的正态分布 $u \sim N(0, \sigma^2)$"
线性的解释,第二种：模型就参数而言是线性的，即Y的条件期望是参数的线性函数，而对于解释变量则可以是线性的，也可以是非线性的,包含,,,P值检验方法,2：\sum X_i Y_i = \hat{\beta}_1 \sum X_i + \hat{\beta}_2 \sum X_i^2,\min \sum e_i^2 = \min \sum (Y_i - \hat{Y}_i)^2 = \min \sum (Y_i - \hat{\beta}_1 - \hat{\beta}_2 X_i)^2
线性的解释,第一种：模型就变量而言是线性的，即Y的条件期望是解释变量的线性函数，这时回归线是一条直线,包含,,,区间估计的定义, \hat{\beta}_1 = \bar{Y} - \hat{\beta}_2 \bar{X},尽可能寻找符合无偏性要求的参数估计量
回归分析与回归函数,随机扰动项,包含,,,总体方差已知时的置信区间, \hat{\beta}_2 = \frac{\sum_{i=1}^{n}(X_i - \bar{X})(Y_i - \bar{Y})}{\sum_{i=1}^{n}(X_i - \bar{X})^2}$,不仅具有无偏性而且具有最小方差性
随机扰动项,引进随机扰动项的原因,,,,总体方差未知且样本容量大时的置信区间,\sum \hat{Y}_i e_i = 0,"\forall \varepsilon > 0, \quad \lim_{n \to \infty} P(|\hat{\beta} - \beta| < \varepsilon) = 1，称估计量为一致估计量"
随机扰动项,u_i = Y_i - E(Y|X_i),包含,,,总体方差未知且样本容量小时的置信区间,\sum (Y_i - \hat{\beta}_1 - \hat{\beta}_2 X_i) X_i = \sum X_i e_i = 0,\(\hat{\beta}_2\) 是 \(Y_i\) 的线性函数，\(\hat{\beta}_1\) 也是 \(Y_i\) 的线性函数
引进随机扰动项的原因,作为未知影响因素的代表,包含,,,回归分析结果报告的数据整理,无偏性,普通最小二乘法估计的参数的期望值等于总体回归函数参数真实值
引进随机扰动项的原因,作为无法取得数据的已知因素的代表,包含,,,预测的定义,有效性,在总体回归函数参数的所有无偏估计量中，OLS估计具有最小的方差，{Var}\left(\hat{\beta}_{2}\right) = \frac{\sigma^{2}}{\sum x_{i}^{2}}
引进随机扰动项的原因,作为众多细小影响因素的综合代表,包含,,,预测的基本方法, 一致性,\hat{\sigma}^2 = \frac{\sum e_i^2}{n - 2}，这是一个无偏估计
引进随机扰动项的原因,变量和函数形式的设定可能会引起设定误差，这种设定误差也要由随机扰动项来表示,包含,,,预测的条件, 线性特性,被解释变量Y的样本观测值与其平均值的离差平方和，TSS = \sum(Y_i - \bar{Y})^2
引进随机扰动项的原因,包含变量的观测误差,包含,,,预测的类型, 无偏性,被解释变量Y的样本估计值与其平均值的离差平方和，ESS = \sum(\hat{Y}_i - \bar{Y})^2
引进随机扰动项的原因,经济现象的内在随机性,包含,,,个别值预测条件, 有效性,被解释变量观测值与估计值之差的平方和，RSS = \sum(Y_i - \hat{Y}_i)^2
回归分析与回归函数,样本回归函数,包含,,,个别值预测区间计算,方差的平方根,可决系数是非负的统计量
样本回归函数,样本回归函数（SRF）：解释样本条件均值随X变动规律的函数,包含,,,预测误差来源,该结论称为高斯—马尔可夫定理,0 \leq R^2 \leq 1
样本回归函数,样本回归函数的形式,包含,,,预测区间宽度,TSS = ESS + RSS,可决系数是随抽样而变动的随机变量
样本回归函数的形式,\hat{Y}_i = \hat{\beta}_1 + \hat{\beta}_2 X_i,包含,,,样本容量影响,总变差（TSS）,在一元线性回归中，R^2 = r^2
简单线性回归模型参数的估计,简单线性回归的基本假定,包含,,,被解释变量,由回归解释的平方和（ESS）,可决系数度量模型拟合程度，相关系数度量变量间的线性依存程度
简单线性回归的基本假定,变量和模型的假定,包含,,,解释变量,残差平方和（RSS）,可决系数度量X对Y的变差解释比例，相关系数度量X与Y的对称相关关系
变量和模型的假定,解释变量的确定性,包含,,,EViews操作,综合度量回归模型对样本观测值拟合优度的指标,可决系数：0 \leq R^2 \leq 1；相关系数：-1 \leq r \leq 1
解释变量的确定性,解释变量是确定性变量，是非随机的,包含,,,经济意义检验,R^2 = \frac{ESS}{TSS},服从标准正态分布
变量和模型的假定,模型中变量无测量误差,包含,,,拟合优度和统计检验,R^2 = 1 - \frac{RSS}{TSS},使用无偏估计\hat{\sigma}^2代替\sigma，所得估计量做标准变换仍可视为标准正态分布变量
变量和模型的假定,模型对变量和函数形式设定的正确性,包含,,,点预测,非负性,使用无偏估计\hat{\sigma}^2代替\sigma，所得估计量做标准变换服从自由度为n-2的t分布
简单线性回归的基本假定,随机扰动项统计分布的假定,包含,,,区间预测,取值范围,\(H_0: \beta_1 = \beta_{10}\)（或其他特定值）
随机扰动项统计分布的假定,零均值假定,包含,,,,随机变量,\(H_1: \beta_1 \neq \beta_{10}\)（或 \(>\) 或 \<）
随机扰动项统计分布的假定,同方差假定,包含,,,,数值关系,构造检验统计量服从标准正态分布
随机扰动项统计分布的假定,无自相关假定,包含,,,,概念区别,构造检验统计量服从t(n-2)
随机扰动项统计分布的假定,随机扰动项与解释变量不相关,包含,,,,因果关系,\(t = \frac{\hat{\beta}_1 - \beta_{10}}{SE(\hat{\beta}_1)}\)
随机扰动项统计分布的假定,正态性假定,包含,,,,\(\hat{\beta}_1\) 的标准化变换: \(Z_1 = \frac{\hat{\beta}_1 - \beta_1}{\sigma_{\hat{\beta}_1}}\),大样本时使用Z检验，小样本时使用t检验
简单线性回归模型参数的估计,普通最小二乘法,包含,,,,\(\hat{\beta}_2\) 的标准化变换: \(Z_2 = \frac{\hat{\beta}_2 - \beta_2}{\sigma_{\hat{\beta}_2}}\),P值 = P(T > |t|)，when H0 true，表示t统计量大于样本计算值的概率
普通最小二乘法,最小二乘准则的定义,包含,,,,小样本情况,\alpha置信水平下置信区间的构造：P\left(\hat{\beta}_2 - \delta \leq \beta_2 \leq \hat{\beta}_2 + \delta\right) = 1 - \alpha 
普通最小二乘法,最小二乘的正规方程组,包含,,,,大样本情况,"z = \frac{\hat{\beta}_{2} - \beta_{2}}{S E(\hat{\beta}_{2})} \sim N(0,1)"
普通最小二乘法,最小二乘估计量的计算,包含,,,,构造一个小概率事件，判断原假设结果合理与否，是基于“小概率事件不易发生”的原理,"z = \frac{\hat{\beta_{2}} - \beta_{2}}{\hat{\sigma} / \sqrt{\sum x_{i}^{2}}} \sim N(0,1)"
最小二乘的正规方程组,1：\sum Y_i = n \hat{\beta}_1 + \hat{\beta}_2 \sum X_i,包含,,,,原假设,t = \frac{\hat{\beta}_{2} - \beta_{2}}{S\hat{S}\left(\hat{\beta}_{2}\right)} \sim t(n-2)
最小二乘的正规方程组,2：\sum X_i Y_i = \hat{\beta}_1 \sum X_i + \hat{\beta}_2 \sum X_i^2,包含,,,,备择假设,列在回归方程下方与估计的参数对正的第一排圆括号内的数据，是对应参数估计值的标准误差
最小二乘估计量的计算,\hat{\beta}_2 = \frac{\sum_{i=1}^{n}(X_i - \bar{X})(Y_i - \bar{Y})}{\sum_{i=1}^{n}(X_i - \bar{X})^2}$,包含,,,,Z检验,第二排圆括号内与之对正的数据，分别是对应参数等于零的原假设下，所计算的t统计量（有时也可不列出标准误差，而只列出t统计量）
最小二乘估计量的计算,\hat{\beta}_1 = \bar{Y} - \hat{\beta}_2 \bar{X},包含,,,,t检验,"Y = 266.382 + 0.60366X, \\
(90.9941) \\
(0.01672) \\
t = (2.9275) \\
(36.1085) \\
R^2 = 0.9936 \\
n = 10"
简单线性回归模型参数的估计,OLS回归线的性质,包含,,,,Z检验与t检验公式,"对被解释变量Y的平均值点预测，把解释变量的预测值直接代入所估计的样本回归函数,就可以计算出被解释变量平均值的预测值"
OLS回归线的性质,样本回归线通过样本均值,包含,,,,Z检验与t检验,对被解释变量Y的平均值区间预测，给定显著性水平\alpha，P\left[\hat{Y} - t_{\alpha/2} \cdot SE(\hat{Y}) \leq E(Y|X) \leq \hat{Y} + t_{\alpha/2} \cdot SE(\hat{Y})\right] = 1 - \alpha
OLS回归线的性质,估计值的均值等于实际值的均值,包含,,,,P值定义,"\hat{Y} \pm t_{\frac{\alpha}{2}, n-2} \cdot \sqrt{\hat{\sigma}^2 \left(1 + \frac{1}{n} + \frac{(X - \bar{X})^2}{\sum(X_i - \bar{X})^2}\right)}"
OLS回归线的性质,剩余项的均值为零,包含,,,,P值<alpha，则拒绝原假设,Y
OLS回归线的性质,被解释变量估计值与剩余项不相关,包含,,,,P值不小于alpha，则不拒绝原假设,X
OLS回归线的性质,解释变量与剩余项不相关,包含,,,,可能包含参数真实值的一定范围，并确定这样的范围包含参数真实值的可靠程度,选择文件数据结构类型
简单线性回归模型参数的估计,最小二乘估计量的统计性质,包含,,,,使用标准正态分布分布确定置信区间,输入样本量
最小二乘估计量的统计性质,参数估计量的评价标准,包含,,,,使用标准正态分布确定置信区间，使用无偏估计代替方差,输入文件名称
参数估计量的评价标准,无偏性,包含,,,,使用t分布确定置信区间，自由度为 \(n-2\)，使用无偏估计代替方差,命名Y变量-输入Y数据，命名X变量-输入X数据
参数估计量的评价标准,有效性,包含,,,,规范格式,散点图：View-Graph-scatter
参数估计量的评价标准,一致性,包含,,,,规范示例,回归线：Fit lines-Regression line
最小二乘估计量的统计性质,OLS估计量的统计特性,包含,,,,由已知的或预先测定的解释变量，去预测被解释变量在所观测的样本数据以外的数值,Quick菜单-Estimate Equation-Least Squares
OLS估计量的统计特性,线性特性,包含,,,,将解释变量预测期的数值代入估计的模型，对被解释变量的预测期或样本以外的数值作出定量的估计,命令框：LS Y C X
OLS估计量的统计特性,无偏性,包含,,,,对模型在预测期的适应性作出判断，判定所研究的经济总体的经济结构在样本期和预测期并无明显变化,人均地区生产总值每增加1元，平均说来居民交通通信消费支出将增加元
OLS估计量的统计特性,有效性,包含,,,,点预测,可决系数为0.6768，被解释变量“居民交通通信消费支出”观测值的总变差中，有67.68%可由所估计的样本回归模型作出解释
最小二乘估计量的统计性质,标准误差SE,包含,,,,区间预测,回归系数的标准误差和t值和临界值进行比较，对斜率系数的显著性检验表明，人均地区生产总值对居民交通通信消费支出确有显著影响
简单线性回归模型参数的估计,最佳线性无偏估计量BLUE,包含,,,,明确与预测值和个别值都有关的统计量的概率分布,\hat{Y}_{f} = 1396.274 + 0.0189 \times 70000 = 2719.3
最佳线性无偏估计量BLUE,OLS估计量\hat{\beta}_1\，\hat{\beta}_2\,包含,,,,预测区间公式,Enddata 32-sample 1 32
OLS估计量\hat{\beta}_1\，\hat{\beta}_2\,该结论称为高斯—马尔可夫定理,包含,,,,由于抽样误差的存在，用样本估计的和去预测的被解释变量平均值与总体真实平均值存在误差,data x/回车，32位输入7000-Equation-Forecast-\{Y}_{f}
拟合优度的度量,总变差的分解,包含,,,,对个别值的预测区间比对平均值的预测区间更宽,View-Descriptive Stats\Cmmon Sample
总变差的分解,TSS = ESS + RSS,包含,,,,样本容量越大，预测误差的方差将越小，预测区间也将越窄,Forecast得到预测值及标准误差的图形
总变差的分解,总变差的组成部分,包含,,,,居民交通通信消费支出,Y_f \pm t_{\alpha/2} \hat{\sigma} \sqrt{\frac{1}{n} + \frac{(X_f - \bar{X})^2}{\sum x_i^2}}
总变差的组成部分,总变差（TSS）,包含,,,,人均地区生产总值,Y_f \pm t_{\alpha/2} \hat{\sigma} \sqrt{1 + \frac{1}{n} + \frac{(X_f - \bar{X})^2}{\sum x_i^2}}
总变差的组成部分,由回归解释的平方和（ESS）,包含,,,,建立工作文件,
总变差的组成部分,残差平方和（RSS）,包含,,,,输入数据,
拟合优度的度量,可决系数,包含,,,,作Y与X的相关图形,
可决系数,综合度量回归模型对样本观测值拟合优度的指标,包含,,,,方法一,
可决系数,可决系数的计算公式,包含,,,,方法二,
可决系数的计算公式,R^2 = 1 - \frac{RSS}{TSS},包含,,,,参数的经济意义,
可决系数的计算公式,R^2 = \frac{ESS}{TSS},包含,,,,拟合优度,
可决系数,可决系数的特点,包含,,,,回归系数t检验,
可决系数的特点,非负性,包含,,,,计算方法,
可决系数的特点,取值范围,包含,,,,Range,
可决系数的特点,随机变量,包含,,,,命令框,
非负性,可决系数是非负的统计量,包含,,,,X，Y数据表,
取值范围,0 \leq R^2 \leq 1,包含,,,,Equation,
随机变量,可决系数是随抽样而变动的随机变量,包含,,,,平均值置信度95%的预测区间,
拟合优度的度量,可决系数与相关系数的关系,包含,,,,个别值置信度95%的预测区间,
可决系数与相关系数的关系,可决系数与相关系数的联系,包含,,,,,
可决系数与相关系数的联系,数值关系,包含,,,,,
数值关系,在一元线性回归中，R^2 = r^2,包含,,,,,
可决系数与相关系数的关系,可决系数与相关系数的区别,包含,,,,,
可决系数与相关系数的区别,概念区别,包含,,,,,
可决系数与相关系数的区别,因果关系,包含,,,,,
可决系数与相关系数的区别,取值范围,包含,,,,,
概念区别,可决系数度量模型拟合程度，相关系数度量变量间的线性依存程度,包含,,,,,
因果关系,可决系数度量X对Y的变差解释比例，相关系数度量X与Y的对称相关关系,包含,,,,,
取值范围,可决系数：0 \leq R^2 \leq 1；相关系数：-1 \leq r \leq 1,包含,,,,,
回归系数的假设检验和区间估计,OLS估计的分布性质,包含,,,,,
OLS估计的分布性质,在古典假定下，\(\hat{\beta}_1\) 和 \(\hat{\beta}_0\) 服从正态分布,包含,,,,,
OLS估计的分布性质,OLS估计的标准化变换,包含,,,,,
OLS估计的分布性质,方差估计,包含,,,,,
方差估计,小样本情况,包含,,,,,
方差估计,大样本情况,包含,,,,,
小样本情况,使用无偏估计\hat{\sigma}^2代替\sigma，所得估计量做标准变换仍可视为标准正态分布变量,包含,,,,,
大样本情况,使用无偏估计\hat{\sigma}^2代替\sigma，所得估计量做标准变换服从自由度为n-2的t分布,包含,,,,,
回归系数的假设检验和区间估计,回归系数的假设检验,包含,,,,,
回归系数的假设检验,假设检验的基本思想,包含,,,,,
假设检验的基本思想,构造一个小概率事件，判断原假设结果合理与否，是基于“小概率事件不易发生”的原理,包含,,,,,
回归系数的假设检验,原假设与备择假设,包含,,,,,
原假设与备择假设,原假设,包含,,,,,
原假设与备择假设,备择假设,包含,,,,,
原假设,\(H_0: \beta_1 = \beta_{10}\)（或其他特定值）,包含,,,,,
备择假设,\(H_1: \beta_1 \neq \beta_{10}\)（或 \(>\) 或 \<）,包含,,,,,
回归系数的假设检验,显著性水平与临界值,包含,,,,,
显著性水平与临界值,Z检验,包含,,,,,
显著性水平与临界值,t检验,包含,,,,,
显著性水平与临界值,Z检验与t检验公式,包含,,,,,
显著性水平与临界值,Z检验与t检验,包含,,,,,
Z检验,构造检验统计量服从标准正态分布,包含,,,,,
t检验,构造检验统计量服从t(n-2),包含,,,,,
Z检验与t检验公式,\(t = \frac{\hat{\beta}_1 - \beta_{10}}{SE(\hat{\beta}_1)}\),包含,,,,,
Z检验与t检验,大样本时使用Z检验，小样本时使用t检验,包含,,,,,
回归系数的假设检验,P值检验方法,包含,,,,,
P值检验方法,P值定义,包含,,,,,
P值检验方法,P值<alpha，则拒绝原假设,包含,,,,,
P值检验方法,P值不小于alpha，则不拒绝原假设,包含,,,,,
P值定义,P值 = P(T > |t|)，when H0 true，表示t统计量大于样本计算值的概率,包含,,,,,
回归系数的假设检验和区间估计,回归系数的区间估计,包含,,,,,
回归系数的区间估计,区间估计的定义,包含,,,,,
区间估计的定义,可能包含参数真实值的一定范围，并确定这样的范围包含参数真实值的可靠程度,包含,,,,,
回归系数的区间估计,总体方差已知时的置信区间,包含,,,,,
回归系数的区间估计,总体方差未知且样本容量大时的置信区间,包含,,,,,
回归系数的区间估计,总体方差未知且样本容量小时的置信区间,包含,,,,,
总体方差已知时的置信区间,使用标准正态分布分布确定置信区间,包含,,,,,
总体方差未知且样本容量大时的置信区间,使用标准正态分布确定置信区间，使用无偏估计代替方差,包含,,,,,
总体方差未知且样本容量小时的置信区间,使用t分布确定置信区间，自由度为 \(n-2\)，使用无偏估计代替方差,包含,,,,,
回归模型预测,回归分析结果的报告,包含,,,,,
回归分析结果的报告,回归分析结果报告的数据整理,包含,,,,,
回归分析结果的报告,回归分析结果报告的数据整理,包含,,,,,
回归分析结果的报告,回归分析结果报告的数据整理,包含,,,,,
回归分析结果报告的数据整理,规范格式,包含,,,,,
规范格式,列在回归方程下方与估计的参数对正的第一排圆括号内的数据，是对应参数估计值的标准误差,包含,,,,,
回归模型预测,被解释变量平均值预测,包含,,,,,
规范格式,第二排圆括号内与之对正的数据，分别是对应参数等于零的原假设下，所计算的t统计量（有时也可不列出标准误差，而只列出t统计量）,包含,,,,,
被解释变量平均值预测,预测的定义,包含,,,,,
预测的定义,由已知的或预先测定的解释变量，去预测被解释变量在所观测的样本数据以外的数值,包含,,,,,
预测的基本方法,将解释变量预测期的数值代入估计的模型，对被解释变量的预测期或样本以外的数值作出定量的估计,包含,,,,,
预测的条件,对模型在预测期的适应性作出判断，判定所研究的经济总体的经济结构在样本期和预测期并无明显变化,包含,,,,,
预测的类型,点预测,包含,,,,,
预测的类型,区间预测,包含,,,,,
个别值预测条件,明确与预测值和个别值都有关的统计量的概率分布,包含,,,,,
个别值预测区间计算,预测区间公式,包含,,,,,
被解释变量平均值预测,预测的基本方法,包含,,,,,
被解释变量平均值预测,预测的条件,包含,,,,,
被解释变量平均值预测,预测的类型,包含,,,,,
被解释变量个别值预测,个别值预测条件,包含,,,,,
被解释变量个别值预测,个别值预测区间计算,包含,,,,,
回归模型预测,被解释变量预测特点,包含,,,,,
被解释变量预测特点,预测误差来源,包含,,,,,
被解释变量预测特点,预测区间宽度,包含,,,,,
被解释变量预测特点,样本容量影响,包含,,,,,
预测误差来源,由于抽样误差的存在，用样本估计的和去预测的被解释变量平均值与总体真实平均值存在误差,包含,,,,,
预测区间宽度,对个别值的预测区间比对平均值的预测区间更宽,包含,,,,,
样本容量影响,样本容量越大，预测误差的方差将越小，预测区间也将越窄,包含,,,,,
案例分析,模型设定,包含,,,,,
模型设定,被解释变量,包含,,,,,
模型设定,解释变量,包含,,,,,
模型设定,EViews操作,包含,,,,,
EViews操作,建立工作文件,包含,,,,,
建立工作文件,选择文件数据结构类型,包含,,,,,
建立工作文件,输入样本量,包含,,,,,
建立工作文件,输入文件名称,包含,,,,,
EViews操作,输入数据,包含,,,,,
EViews操作,作Y与X的相关图形,包含,,,,,
输入数据,命名Y变量-输入Y数据，命名X变量-输入X数据,包含,,,,,
作Y与X的相关图形,散点图：View-Graph-scatter,包含,,,,,
案例分析,估计参数,包含,,,,,
估计参数,EViews操作,包含,,,,,
EViews操作,方法一,包含,,,,,
EViews操作,方法二,包含,,,,,
方法一,Quick菜单-Estimate Equation-Least Squares,包含,,,,,
方法二,命令框：LS Y C X,包含,,,,,
作Y与X的相关图形,回归线：Fit lines-Regression line,包含,,,,,
案例分析,模型检验,包含,,,,,
模型检验,经济意义检验,包含,,,,,
模型检验,拟合优度和统计检验,包含,,,,,
经济意义检验,参数的经济意义,包含,,,,,
拟合优度和统计检验,拟合优度,包含,,,,,
拟合优度和统计检验,回归系数t检验,包含,,,,,
案例分析,回归预测,包含,,,,,
回归预测,点预测,包含,,,,,
回归预测,EViews操作,包含,,,,,
回归预测,区间预测,包含,,,,,
点预测,计算方法,包含,,,,,
EViews操作,Range,包含,,,,,
EViews操作,命令框,包含,,,,,
EViews操作,X，Y数据表,包含,,,,,
EViews操作,Equation,包含,,,,,
区间预测,平均值置信度95%的预测区间,包含,,,,,
区间预测,个别值置信度95%的预测区间,包含,,,,,
计算方法,\hat{Y}_{f} = 1396.274 + 0.0189 \times 70000 = 2719.3,包含,,,,,
Range,Enddata 32-sample 1 32,包含,,,,,
命令框,data x/回车，32位输入7000-Equation-Forecast-\{Y}_{f},包含,,,,,
X，Y数据表,View-Descriptive Stats\Cmmon Sample,包含,,,,,
Equation,Forecast得到预测值及标准误差的图形,包含,,,,,
平均值置信度95%的预测区间,Y_f \pm t_{\alpha/2} \hat{\sigma} \sqrt{\frac{1}{n} + \frac{(X_f - \bar{X})^2}{\sum x_i^2}},包含,,,,,
个别值置信度95%的预测区间,Y_f \pm t_{\alpha/2} \hat{\sigma} \sqrt{1 + \frac{1}{n} + \frac{(X_f - \bar{X})^2}{\sum x_i^2}},包含,,,,,
相关分析与回归分析,数学推演能力,考察,,,,,
相关分析与回归分析,经济理解能力,考察,,,,,
经济变量间的相互关系,实证分析能力,考察,,,,,
经济变量间的相互关系,数据处理能力,考察,,,,,
简单线性相关关系的度量,数学推演能力,考察,,,,,
简单线性相关关系的度量,逻辑思维能力,考察,,,,,
